Date;                  Close
07/06/2021;216.949997
08/06/2021;214.119995
09/06/2021;210.210007
10/06/2021;217.139999
11/06/2021;219.339996
14/06/2021;230.949997
15/06/2021;227.750000
16/06/2021;225.110001
17/06/2021;236.130005
18/06/2021;237.050003
21/06/2021;233.889999
22/06/2021;235.970001
23/06/2021;238.699997
24/06/2021;244.149994
25/06/2021;239.940002
28/06/2021;246.600006
29/06/2021;248.869995
30/06/2021;243.800003
01/07/2021;241.850006
02/07/2021;241.080002
06/07/2021;246.699997
07/07/2021;244.639999
08/07/2021;235.899994
09/07/2021;241.889999
12/07/2021;243.350006
13/07/2021;241.429993
14/07/2021;239.000000
15/07/2021;235.160004
16/07/2021;237.520004
19/07/2021;233.690002
20/07/2021;246.470001
21/07/2021;257.250000
22/07/2021;260.589996
23/07/2021;264.000000
26/07/2021;261.989990
27/07/2021;251.729996
28/07/2021;258.609985
29/07/2021;255.279999
30/07/2021;247.259995
02/08/2021;272.380005
03/08/2021;269.489990
04/08/2021;266.420013
05/08/2021;281.809998
06/08/2021;275.100006
09/08/2021;279.730011
10/08/2021;273.079987
11/08/2021;271.089996
12/08/2021;268.589996
13/08/2021;267.880005
16/08/2021;263.399994
17/08/2021;260.880005
18/08/2021;259.660004
19/08/2021;257.350006
20/08/2021;263.049988
23/08/2021;270.440002
24/08/2021;270.170013
25/08/2021;267.570007
26/08/2021;262.130005
27/08/2021;268.010010
30/08/2021;271.920013
31/08/2021;268.070007
01/09/2021;268.250000
02/09/2021;265.940002
03/09/2021;269.739990
07/09/2021;265.829987
08/09/2021;254.720001
09/09/2021;251.539993
10/09/2021;247.899994
13/09/2021;246.679993
14/09/2021;247.050003
15/09/2021;248.800003
16/09/2021;255.089996
17/09/2021;255.789993
20/09/2021;250.229996
21/09/2021;251.300003
22/09/2021;261.070007
23/09/2021;266.720001
24/09/2021;262.500000
27/09/2021;258.109985
28/09/2021;242.699997
29/09/2021;236.039993
30/09/2021;239.839996
01/10/2021;239.289993
04/10/2021;226.250000
05/10/2021;235.979996
06/10/2021;239.119995
07/10/2021;249.160004
08/10/2021;238.490005
11/10/2021;232.330002
12/10/2021;237.410004
13/10/2021;242.729996
14/10/2021;247.410004
15/10/2021;249.000000
18/10/2021;252.199997
19/10/2021;254.410004
20/10/2021;255.350006
21/10/2021;265.079987
22/10/2021;253.059998
25/10/2021;262.000000
26/10/2021;263.390015
27/10/2021;253.020004
28/10/2021;261.329987
29/10/2021;254.500000
01/11/2021;255.039993
02/11/2021;249.009995
03/11/2021;252.479996
04/11/2021;247.460007
05/11/2021;237.380005
08/11/2021;236.770004
09/11/2021;230.779999
10/11/2021;227.210007
11/11/2021;226.509995
12/11/2021;227.300003
15/11/2021;233.020004
16/11/2021;238.470001
17/11/2021;231.850006
18/11/2021;230.350006
19/11/2021;225.139999
22/11/2021;211.309998
23/11/2021;210.550003
24/11/2021;215.649994
26/11/2021;212.080002
29/11/2021;212.869995
30/11/2021;208.330002
01/12/2021;194.500000
02/12/2021;192.149994
03/12/2021;181.309998
06/12/2021;179.720001
07/12/2021;189.509995
08/12/2021;194.779999
09/12/2021;186.750000
10/12/2021;181.320007
13/12/2021;175.440002
14/12/2021;170.720001
15/12/2021;173.800003
16/12/2021;165.880005
17/12/2021;167.059998
20/12/2021;158.300003
21/12/2021;170.470001
22/12/2021;167.380005
23/12/2021;167.710007
27/12/2021;168.479996
28/12/2021;163.669998
29/12/2021;161.850006
30/12/2021;165.339996
31/12/2021;161.509995
03/01/2022;164.029999
04/01/2022;156.330002
05/01/2022;143.490005
06/01/2022;144.660004
07/01/2022;141.539993
10/01/2022;144.479996
11/01/2022;148.429993
12/01/2022;145.470001
13/01/2022;136.949997
14/01/2022;133.289993
18/01/2022;130.000000
19/01/2022;128.139999
20/01/2022;127.580002
21/01/2022;118.099998
24/01/2022;117.300003
25/01/2022;115.300003
26/01/2022;111.000000
27/01/2022;105.639999
28/01/2022;110.379997
31/01/2022;122.290001
01/02/2022;127.610001
02/02/2022;114.040001
03/02/2022;101.500000
04/02/2022;108.870003
07/02/2022;102.809998
08/02/2022;102.290001
09/02/2022;112.839996
10/02/2022;108.940002
11/02/2022;107.879997
14/02/2022;111.639999
15/02/2022;115.209999
16/02/2022;109.000000
17/02/2022;104.019997
18/02/2022;97.720001
22/02/2022;93.910004
23/02/2022;88.720001
24/02/2022;94.989998
25/02/2022;119.820000
28/02/2022;127.500000
01/03/2022;126.059998
02/03/2022;124.260002
03/03/2022;114.220001
04/03/2022;106.519997
07/03/2022;97.510002
08/03/2022;100.620003
09/03/2022;111.919998
10/03/2022;108.870003
11/03/2022;101.930000
14/03/2022;94.849998
15/03/2022;103.089996
16/03/2022;116.050003
17/03/2022;127.959999
18/03/2022;140.639999
21/03/2022;134.820007
22/03/2022;141.789993
23/03/2022;135.399994
24/03/2022;135.059998
25/03/2022;130.330002
28/03/2022;138.119995
29/03/2022;146.839996
30/03/2022;140.100006
31/03/2022;135.600006
01/04/2022;133.619995
04/04/2022;145.190002
05/04/2022;135.919998
06/04/2022;128.770004
07/04/2022;125.930000
08/04/2022;123.220001
11/04/2022;123.080002
12/04/2022;122.889999
13/04/2022;126.050003
14/04/2022;121.309998
18/04/2022;119.389999
19/04/2022;125.620003
20/04/2022;114.519997
21/04/2022;107.709999
22/04/2022;102.669998
25/04/2022;107.379997
26/04/2022;100.470001
27/04/2022;99.930000
28/04/2022;104.639999
29/04/2022;99.540001
02/05/2022;105.860001
03/05/2022;102.330002
04/05/2022;106.790001
05/05/2022;95.550003
06/05/2022;96.190002
09/05/2022;83.860001
10/05/2022;84.389999
11/05/2022;71.220001
12/05/2022;75.760002
13/05/2022;84.150002
16/05/2022;79.699997
17/05/2022;84.790001
18/05/2022;82.059998
19/05/2022;87.139999
20/05/2022;83.440002
23/05/2022;83.400002
24/05/2022;75.879997
25/05/2022;77.949997
26/05/2022;83.410004
27/05/2022;90.519997
31/05/2022;87.510002
01/06/2022;81.910004
02/06/2022;87.440002
03/06/2022;83.099998
06/06/2022;83.379997
